196601,41
196602,39
196603,50
196604,40
196605,43
196606,38
196607,44
196608,35
196609,39
196610,35
196611,29
196612,49
196701,50
196702,59
196703,63
196704,32
196705,39
196706,47
196707,53
196708,60
196709,57
196710,52
196711,70
196712,90
196801,74
196802,62
196803,55
196804,84
196805,94
196806,70
196807,108
196808,139
196809,120
196810,97
196811,126
196812,149
196901,158
196902,124
196903,140
196904,109
196905,114
196906,77
196907,120
196908,133
196909,110
196910,92
196911,97
196912,78
197001,99
197002,107
197003,112
197004,90
197005,98
197006,125
197007,155
197008,190
197009,236
197010,189
197011,174
197012,178
197101,136
197102,161
197103,171
197104,149
197105,184
197106,155
197107,276
197108,224
197109,213
197110,279
197111,268
197112,287
197201,238
197202,213
197203,257
197204,293
197205,212
197206,246
197207,353
197208,339
197209,308
197210,247
197211,257
197212,322
197301,298
197302,273
197303,312
197304,249
197305,286
197306,279
197307,309
197308,401
197309,309
197310,328
197311,353
197312,354
197401,327
197402,324
197403,285
197404,243
197405,241
197406,287
197407,355
197408,460
197409,364
197410,487
197411,452
197412,391
197501,500
197502,451
197503,375
197504,372
197505,302
197506,316
197507,398
197508,394
197509,431
197510,431
