0.000,0.017,0.035,0.052,0.070,0.087,-1,0.105
0.017,0.035,0.052,0.070,0.087,0.105,-1,0.122
0.035,0.052,0.070,0.087,0.105,0.122,-1,0.139
0.052,0.070,0.087,0.105,0.122,0.139,-1,0.156
0.070,0.087,0.105,0.122,0.139,0.156,-1,0.174
0.087,0.105,0.122,0.139,0.156,0.174,-1,0.191
0.105,0.122,0.139,0.156,0.174,0.191,-1,0.208
0.122,0.139,0.156,0.174,0.191,0.208,-1,0.225
0.139,0.156,0.174,0.191,0.208,0.225,-1,0.242
0.156,0.174,0.191,0.208,0.225,0.242,-1,0.259
0.174,0.191,0.208,0.225,0.242,0.259,-1,0.276
0.191,0.208,0.225,0.242,0.259,0.276,-1,0.292
0.208,0.225,0.242,0.259,0.276,0.292,-1,0.309
0.225,0.242,0.259,0.276,0.292,0.309,-1,0.326
0.242,0.259,0.276,0.292,0.309,0.326,-1,0.342
0.259,0.276,0.292,0.309,0.326,0.342,-1,0.358
0.276,0.292,0.309,0.326,0.342,0.358,-1,0.375
0.292,0.309,0.326,0.342,0.358,0.375,-1,0.391
0.309,0.326,0.342,0.358,0.375,0.391,-1,0.407
0.326,0.342,0.358,0.375,0.391,0.407,-1,0.423
0.342,0.358,0.375,0.391,0.407,0.423,-1,0.438
0.358,0.375,0.391,0.407,0.423,0.438,-1,0.454
0.375,0.391,0.407,0.423,0.438,0.454,-1,0.469
0.391,0.407,0.423,0.438,0.454,0.469,-1,0.485
0.407,0.423,0.438,0.454,0.469,0.485,-1,0.500
0.423,0.438,0.454,0.469,0.485,0.500,-1,0.515
0.438,0.454,0.469,0.485,0.500,0.515,-1,0.530
0.454,0.469,0.485,0.500,0.515,0.530,-1,0.545
0.469,0.485,0.500,0.515,0.530,0.545,-1,0.559
0.485,0.500,0.515,0.530,0.545,0.559,-1,0.574
0.500,0.515,0.530,0.545,0.559,0.574,-1,0.588
0.515,0.530,0.545,0.559,0.574,0.588,-1,0.602
0.530,0.545,0.559,0.574,0.588,0.602,-1,0.616
0.545,0.559,0.574,0.588,0.602,0.616,-1,0.629
0.559,0.574,0.588,0.602,0.616,0.629,-1,0.643
0.574,0.588,0.602,0.616,0.629,0.643,-1,0.656
0.588,0.602,0.616,0.629,0.643,0.656,-1,0.669
