[[ 0.28942333 -0.41441633  0.92508736]]
[[-0.80776784  0.71532035  0.32961195]]
0.761586809509 0.0671069458496 0 0
0.371822685179 0.151231709531 0 0
0.304872210184 0.345319890674 0 0
0.697588466689 0.263329484825 0 0
0.758853510788 -0.210640298413 0 0
-0.240519812674 -0.382893226738 0 0
0.252398749986 0.964737034958 0 1
-0.133157272422 -0.138907586308 0 0
0.968833147107 -0.743807796928 0 0
0.658783258991 0.384734187363 0 0
-0.483754978019 -0.84049876252 0 0
-0.100617569676 -0.6422266971 0 0
0.139540560437 0.0374318910314 0 0
-0.430500235573 -0.00605730214255 0 1
0.178997508967 -0.312388533686 0 0
-0.955436185475 -0.879622674973 0 0
0.570187728222 -0.912022175547 0 0
0.891362682894 0.741432290633 0 0
-0.569678066094 0.150933287059 0 1
0.21122770605 -0.978965571902 0 0
-0.877775440872 -0.161170173913 0 1
-0.361947957143 -0.606205445895 0 0
0.315295881 -0.90652682905 0 0
0.305464954968 -0.585070739134 0 0
0.259338807173 -0.166878662632 0 0
0.746169977271 0.545100124267 0 0
0.119719172609 -0.554899533383 0 0
-0.0872885517421 -0.229881628924 0 0
0.764177589944 -0.0806544222299 0 0
-0.532853898507 0.703375104715 0 1
0.500648404788 -0.0587364422092 0 0
-0.987822845071 0.871940803923 0 1
-0.822351954715 0.64430728263 0 1
-0.869615492991 -0.197898300677 0 1
0.143358892623 0.513180031344 0 0
0.592388554041 0.0386776245285 0 0
-0.496255825064 0.510747475785 0 1
-0.0211648594522 0.704497022882 0 1
-0.488277034037 -0.360931080184 0 0
-0.201528593454 -0.025625297274 0 0
-0.556925316895 0.403690634786 0 1
-0.531755567529 -0.550126657379 0 0
-0.776639796069 -0.359732501745 0 1
0.56226931631 -0.91546453985 0 0
0.648017986127 -0.369457973287 0 0
0.386469744751 0.511456175212 0 0
-0.37213964057 0.748017802848 0 1
-0.0962090915324 -0.808112955328 0 0
-0.895674392782 0.901973842481 0 1
0.881662413513 0.250130643533 0 0
0.931471820193 -0.135242057955 0 0
-0.311907479098 0.497900366683 0 1
-0.566938367546 0.268738590881 0 1
-0.00907572169911 -0.945850543761 0 0
0.623145701579 0.307224314864 0 0
0.730999283594 0.161549999534 0 0
-0.635790541165 -0.0810143812969 0 1
0.768132265954 -0.168059307535 0 0
0.3921602058 0.907938563952 0 1
-0.0340758334617 0.368934578317 0 0
-0.937145257803 0.1599372101 0 1
0.261376775843 -0.0373328882425 0 0
0.154376312069 -0.45844630162 0 0
-0.0933094770588 0.447896143375 0 1
-0.697891330306 -0.765094724282 0 0
0.0751447547389 0.728998053389 0 1
0.318877895809 0.609877726955 0 0
0.240342503426 0.794285232574 0 1
-0.229020178417 -0.946505961213 0 0
-0.596847419564 -0.212155228336 0 1
-0.148170225706 0.683968637651 0 1
-0.532457970005 -0.819227580276 0 0
-0.865337857984 0.0795705614858 0 1
0.353116039052 -0.582601397055 0 0
-0.147806708772 0.281248819098 0 0
-0.0111960629303 -0.649361572624 0 0
0.754420883268 -0.862326786138 0 0
0.398122487338 -0.159170489991 0 0
0.0810106095768 -0.759877297264 0 0
0.363656470463 -0.936995306922 0 0
0.589721448462 0.600542749327 0 0
0.854293816314 -0.576255781325 0 0
-0.087249831881 -0.53896919736 0 0
0.271160662175 -0.270653755658 0 0
0.387721655081 -0.794789144674 0 0
-0.729445494015 0.550353069249 0 1
-0.766137952367 -0.348361735218 0 1
0.529463902674 -0.0685483107338 0 0
0.114657605309 0.457798241213 0 0
-0.984474274094 0.368409669292 0 1
-0.838350810916 0.630929676541 0 1
-0.104828799419 -0.507067825248 0 0
-0.934030809851 -0.509111807875 0 1
0.0675562782892 -0.881471536173 0 0
0.784712981545 0.651308338088 0 0
